Province,baseline,cc85,cc85sb2,cc85sb2rb3
An Giang,0,0,0,0
Bac Lieu,1028.141136,1028.141136,980.8080248,965.1903072
Ben Tre,241.6080111,226.1338068,223.5023374,206.5620948
Ca Mau,50.35436168,50.35436168,50.35436168,50.35436168
Can Tho,147.1908254,147.1908254,147.1908254,147.1908254
Dong Thap,375.7347847,375.7347847,375.7347847,375.7347847
Hau Giang,892.6704734,892.6704734,892.6704734,892.6704734
Kien Giang,265.6441699,265.6441699,265.6441699,265.6441699
Long An,1175.442962,1175.442962,1175.442962,1175.442962
Soc Trang,0,0,0,0
Tien Giang,480.7571682,480.7571682,480.7571682,335.8690932
Tra Vinh,354.8519996,354.8519996,354.8519996,306.6138823
Vinh Long,334.7294794,334.7294794,334.7294794,300.2658421
